Departamento_id,Cultivo,Rinde(qq/Ha)
14021,trigo total,21.0964
14035,girasol,20.1256
14035,maní,26.109583333333333
14035,maíz,71.1304
14035,soja 1ra,28.279600000000002
14035,soja 2da,21.3884
14035,trigo total,24.66
14042,girasol,21.71227272727273
14042,maní,24.035999999999998
14042,maíz,71.488
14042,soja 1ra,27.1572
14042,soja 2da,22.43
14042,trigo total,23.741999999999997
14056,girasol,20.8636
14056,maní,27.125
14056,maíz,61.663999999999994
14056,soja 1ra,25.0284
14056,soja 2da,19.544999999999998
14056,trigo total,20.613200000000003
14063,girasol,20.2856
14063,maní,34.2
14063,maíz,93.43
14063,soja 1ra,36.9704
14063,soja 2da,26.9504
14063,trigo total,32.472
14084,girasol,21.47
14084,maní,26.808400000000002
14084,maíz,75.3372
14084,soja 1ra,30.0004
14084,soja 2da,22.628400000000003
14084,trigo total,26.5804
14098,girasol,20.656
14098,maní,26.4808
14098,maíz,59.004799999999996
14098,soja 1ra,23.8332
14098,soja 2da,18.6375
14098,trigo total,19.2088
14105,girasol,21.235294117647058
14105,maní,35.144444444444446
14105,maíz,68.21600000000001
14105,soja 1ra,28.8792
14105,soja 2da,23.5724
14105,trigo total,21.404
14112,girasol,18.0
14112,maíz,63.0304
14112,soja 1ra,25.6732
14112,soja 2da,21.722105263157896
14112,trigo total,19.580000000000002
14119,girasol,21.503636363636364
14119,maní,24.901999999999997
14119,maíz,70.1232
14119,soja 1ra,27.473200000000002
14119,soja 2da,23.2484
14119,trigo total,21.5184
14140,girasol,20.10636363636364
14140,maíz,70.26
14140,soja 1ra,30.025199999999998
14140,soja 2da,24.4712
14140,trigo total,23.007199999999997
14147,girasol,21.714285714285715
14147,maíz,69.03
14147,soja 1ra,25.088
14147,soja 2da,21.776666666666667
14147,trigo total,16.3244
14161,girasol,20.897142857142857
14161,maní,24.7856
14161,maíz,71.2372
14161,soja 1ra,27.4404
14161,soja 2da,22.692800000000002
14161,trigo total,20.863200000000003
14168,girasol,20.0
14168,maíz,68.5368
14168,soja 1ra,29.011999999999997
14168,soja 2da,23.703181818181818
14168,trigo total,21.659565217391304
14175,girasol,19.142857142857142
14175,maíz,62.216
14175,soja 1ra,24.932
14175,soja 2da,21.659130434782607
14175,trigo total,18.833181818181817
14182,girasol,19.78625
14182,maní,28.523333333333333
14182,maíz,87.76280000000001
14182,soja 1ra,34.2816
14182,soja 2da,24.8296
14182,trigo total,30.511999999999997
22007,girasol,16.6032
22007,maíz,37.217200000000005
22007,soja 1ra,20.762800000000002
22007,soja 2da,20.444347826086958
22007,trigo total,12.628260869565217
22021,girasol,15.460799999999999
22021,maíz,32.552
22021,soja 1ra,16.5496
22021,soja 2da,16.481739130434782
22021,trigo total,12.070869565217391
22028,girasol,16.7572
22028,maíz,39.7944
22028,soja 1ra,20.472916666666666
22028,soja 2da,19.69090909090909
22028,trigo total,13.60391304347826
22036,girasol,16.4028
22036,maíz,38.1848
22036,soja 1ra,20.8144
22036,soja 2da,19.83695652173913
22036,trigo total,13.892608695652173
22039,girasol,16.540869565217392
22039,maíz,38.8612
22039,soja 1ra,20.2344
22039,soja 2da,19.74304347826087
22039,trigo total,13.789130434782608
22049,girasol,16.32
22049,maíz,38.47
22049,soja 1ra,21.101599999999998
22049,soja 2da,19.995217391304347
22049,trigo total,13.32695652173913
22070,girasol,16.0112
22070,maíz,35.221599999999995
22070,soja 1ra,18.2588
22070,soja 2da,17.991739130434784
22070,trigo total,12.322173913043477
22091,girasol,15.366800000000001
22091,maíz,33.6556
22091,soja 1ra,16.6464
22091,soja 2da,16.487826086956524
22091,trigo total,11.508260869565218
22098,girasol,15.075999999999999
22098,maíz,36.4064
22098,soja 1ra,18.6432
22098,soja 2da,18.012173913043476
22098,trigo total,12.369565217391305
22105,girasol,16.6652
22105,maíz,38.9564
22105,soja 1ra,20.538
22105,soja 2da,19.32478260869565
22105,trigo total,13.413478260869566
22112,girasol,16.248
22112,maíz,38.1984
22112,soja 1ra,19.711199999999998
22112,soja 2da,18.73304347826087
22112,trigo total,13.871304347826088
30021,girasol,20.879166666666666
30021,maíz,68.2572
30021,soja 1ra,27.492800000000003
30021,soja 2da,22.3656
30021,trigo total,30.945999999999998
30035,girasol,17.8572
30035,maíz,58.556400000000004
